Timestamp,Container,CPU_%,Mem_Usage,NPU_Temp,EPC_Util,Epsilon,Accuracy,Loss
2026-03-23 09:29:48,sovereign-tpm-metrics,2.50%,40.54MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,51.72%,542.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,65.10%,534.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,65.62%,528.8MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,50.08%,507.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,59.66%,560.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,56.51%,554.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,49.11%,570MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,56.54%,559.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,59.56%,515.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,59.01%,511MiB / 11.49GiB
sovereign-grafana,1.92%,138.7MiB / 11.49GiB
sovereign-backend,64.93%,1010MiB / 11.49GiB
sovereign-alertmanager,0.19%,33.46MiB / 11.49GiB
sovereign-prometheus,3.77%,72.37MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.18MiB / 11.49GiB
sovereign-fl-performance,0.05%,23.52MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:30:16,sovereign-tpm-metrics,2.98%,40.71MiB / 11.49GiB
sovereign-tokenomics-metrics,0.18%,29.34MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,60.66%,532MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,53.97%,574.1MiB / 11.49GiB
sovereign-frontend,0.00%,16.02MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,62.62%,543.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,54.00%,529.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,56.25%,543.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,62.32%,533.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,59.56%,568.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,61.18%,583MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,58.92%,570.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,61.57%,568.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,64.46%,518MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,60.15%,504.7MiB / 11.49GiB
sovereign-grafana,0.13%,138.7MiB / 11.49GiB
sovereign-backend,57.80%,945.3MiB / 11.49GiB
sovereign-alertmanager,0.20%,33.46MiB / 11.49GiB
sovereign-prometheus,0.68%,72.49MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.21MiB / 11.49GiB
sovereign-fl-performance,0.63%,23.52MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:30:21,sovereign-tpm-metrics,1.27%,40.51MiB / 11.49GiB
sovereign-tokenomics-metrics,0.18%,29.38MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,58.45%,538.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,51.26%,567.9MiB / 11.49GiB
sovereign-frontend,0.00%,16.02MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,60.43%,543.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,57.64%,530.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,56.39%,511.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,57.30%,531MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,55.17%,563.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,55.23%,556.8MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,58.22%,567.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,53.80%,558.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,51.81%,511.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,56.08%,499.1MiB / 11.49GiB
sovereign-grafana,0.06%,138.7MiB / 11.49GiB
sovereign-backend,59.56%,1.011GiB / 11.49GiB
sovereign-alertmanager,0.14%,33.46MiB / 11.49GiB
sovereign-prometheus,1.13%,72.5MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.22MiB / 11.49GiB
sovereign-fl-performance,0.02%,23.52MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:30:26,sovereign-tpm-metrics,6.84%,40.83MiB / 11.49GiB
sovereign-tokenomics-metrics,0.66%,29.39MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,50.05%,515.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,57.45%,581.3MiB / 11.49GiB
sovereign-frontend,0.00%,16.02MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,48.00%,540.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,50.46%,531MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,46.52%,525.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,59.20%,522.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,61.63%,553.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,57.62%,552.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,60.33%,574.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,52.04%,555.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,54.57%,518MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,56.93%,525.4MiB / 11.49GiB
sovereign-grafana,0.11%,138.7MiB / 11.49GiB
sovereign-backend,67.35%,1.003GiB / 11.49GiB
sovereign-alertmanager,0.13%,33.46MiB / 11.49GiB
sovereign-prometheus,2.82%,72.54MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.22MiB / 11.49GiB
sovereign-fl-performance,0.06%,23.52MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:30:31,sovereign-tpm-metrics,4.38%,40.51MiB / 11.49GiB
sovereign-tokenomics-metrics,0.43%,29.39MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,72.53%,532MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,46.63%,570.1MiB / 11.49GiB
sovereign-frontend,0.00%,16.02MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,70.28%,552.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,63.30%,536.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,66.89%,529.8MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,59.52%,525MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,65.99%,557.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,68.57%,557.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,65.60%,566.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,66.78%,550.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,57.59%,516.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,73.97%,513.2MiB / 11.49GiB
sovereign-grafana,0.41%,138.6MiB / 11.49GiB
sovereign-backend,53.84%,1014MiB / 11.49GiB
sovereign-alertmanager,0.23%,33.46MiB / 11.49GiB
sovereign-prometheus,0.28%,72.51MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.23MiB / 11.49GiB
sovereign-fl-performance,0.03%,23.52MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
